,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
10,BRIDGEPORT,33888,17052,16016,951,13381,7937,5896.0,3445,1529.0,18720.0,8197,32894,282.2962962962963,-87.64764593703704,41.8358596037037,0.5031869688385269,0.4726156751652502,0.028063031161473087,0.394859537299339,0.23421270066100094,0.17398489140698772,0.10165840415486307,0.08167735042735043,0.24919438195415577
11,BRIGHTON PARK,45031,21870,21766,936,3641,37432,10153.0,7675,2160.0,21179.0,13542,43040,331.56666666666666,-87.6972315,41.816334663333336,0.48566543048122407,0.48335591037285425,0.020785680975328107,0.08085541071706158,0.8312495836201728,0.22546690057960073,0.1704381426128667,0.10198781812172435,0.3146375464684015
12,BURNSIDE,2336,1148,47,2265,0,37,414.0,138,248.0,1130.0,401,2319,248.0,-87.5970644,41.7276729,0.4914383561643836,0.02011986301369863,0.9696061643835616,0.0,0.015839041095890412,0.17722602739726026,0.059075342465753425,0.21946902654867256,0.17291936179387668
13,CALUMET HEIGHTS,12956,7089,444,12319,15,458,1906.0,1253,667.0,6350.0,2494,12841,192.375,-87.57576058125,41.73041383125,0.5471596171657919,0.03426983636924977,0.9508335906143871,0.001157764742204384,0.03535041679530719,0.14711330657610375,0.09671194813213956,0.10503937007874016,0.19422163382914104
14,CHATHAM,30653,16908,632,29433,182,386,8278.0,3940,2339.0,14508.0,7209,29487,200.53125,-87.61146120625,41.7409975125,0.5515936449939647,0.020617884057025415,0.9601996541937168,0.00593742863667504,0.012592568427233875,0.27005513326591196,0.12853554301373438,0.16122139509236283,0.2444806185776783
15,CHICAGO LAWN,52003,27185,13521,23326,152,26016,12725.0,8808,5540.0,25045.0,14227,49840,253.90697674418604,-87.69517400465116,41.77400885348837,0.5227583024056305,0.26000423052516203,0.4485510451320116,0.0029229082937522835,0.5002788300674961,0.24469742130261715,0.1693748437590139,0.22120183669395088,0.2854534510433387
16,CLEARING,25735,13314,17062,444,151,14840,2450.0,3743,1204.0,13179.0,6203,24503,302.6,-87.766270615,41.778314785,0.5173499125704294,0.6629881484359821,0.01725276860306975,0.005867495628521469,0.5766465902467457,0.09520108801243443,0.14544394793083348,0.09135746262994157,0.2531526751826307
17,DOUGLAS,21268,11704,2906,14541,3040,723,7585.0,2864,1343.0,9694.0,7593,20627,170.55,-87.618737315,41.834031429999996,0.5503103253714501,0.13663720142937746,0.6837032160993041,0.1429377468497273,0.03399473387248449,0.3566390821892044,0.13466240361105886,0.13853930266144007,0.3681097590536675
18,DUNNING,44035,22776,36348,1215,2607,13104,3565.0,5745,1014.0,23699.0,10079,42452,315.9142857142857,-87.80575003428572,41.94547146857143,0.5172249347110254,0.8254343136141705,0.027591688429658225,0.059202906778698765,0.2975814692857954,0.0809583286022482,0.13046440331554446,0.04278661546900713,0.2374210873457081
19,EAST GARFIELD PARK,19738,10630,1471,17385,125,702,8838.0,3579,1281.0,6976.0,5947,18673,226.61111111111111,-87.70478503888889,41.87839023888889,0.538555071435809,0.07452629445739184,0.880788327084811,0.006332961799574425,0.03556591346640997,0.44776573107711015,0.18132536224541493,0.1836295871559633,0.3184812295828201
